05/Apr/2012 17:51:26,Info,Teardown,ASA-6-302016,UDP,172.23.0.1,172.23.0.2,(empty),(empty),514,514,syslog,(empty),0,1
05/Apr/2012 17:51:26,Info,Built,ASA-6-302015,UDP,172.23.0.1,172.23.0.2,(empty),(empty),514,514,syslog,outbound,1,0
05/Apr/2012 17:53:06,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.32.64.12,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:53:10,Info,Built,ASA-6-302015,UDP,172.23.0.10,202.12.27.33,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:53:14,Info,Built,ASA-6-302015,UDP,172.23.0.10,128.9.0.107,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:53:14,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.33.4.12,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:53:26,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.41.0.4,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:53:30,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.36.148.17,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:54:47,Info,Built,ASA-6-302015,UDP,172.23.0.10,193.0.14.129,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:54:59,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.203.230.10,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:55:08,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,198.32.64.12,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 17:55:32,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.36.148.17,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 17:56:40,Info,(empty),ASA-6-302010,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),0,0
05/Apr/2012 17:56:44,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,198.41.0.4,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 17:56:48,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,193.0.14.129,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 17:57:00,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.203.230.10,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 17:57:04,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,202.12.27.33,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 17:57:05,Info,Built,ASA-6-302015,UDP,172.23.0.10,202.12.27.33,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:57:09,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,128.9.0.107,(empty),(empty),64048,53,domain,outbound,0,1
05/Apr/2012 17:57:09,Info,Built,ASA-6-302015,UDP,172.23.0.10,128.9.0.107,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:57:09,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.41.0.4,(empty),(empty),64048,53,domain,outbound,1,0
05/Apr/2012 17:59:02,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.33.4.12,(empty),(empty),64048,53,domain,outbound,0,1
